Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
CPH,Cipher Pharmaceuticals Inc.,2.75786346050123,CAD,0.9437,CAD,0.9328,CAD,1.64138555537319,CAD,1.640826012894146,CAD,0.646317563978111,CAD,1.0287572430652745,CAD,6.24904,CAD,0.7343961461328125,CAD,0.461924373555052,CAD
CUU,Copper Fox Metals Inc.,0,CAD,-0.0019,CAD,-0.0019,CAD,-0.00198963753604534,CAD,-0.0019896426990313283,CAD,-0.0021552024496124316,CAD,-0.0021323820515593605,CAD,0.14792,CAD,0.00013045488787472774,CAD,0.0011810089501016023,CAD
MFG,Mayfair Gold Corp.,0,CAD,-0.1522,CAD,-0.1522,CAD,-0.125339228970038,CAD,-0.12543679525897072,CAD,-0.15479976201526244,CAD,-0.15425399837876408,CAD,0.83228,CAD,0,CAD,0.7385415003747091,CAD
KRY,Koryx Copper Inc.,0,CAD,-0.3768,CAD,-0.3768,CAD,-0.189686180532133,CAD,-0.19407569729484644,CAD,-0.24071772837340663,CAD,-0.2394292983120313,CAD,0.17278,CAD,0.006660052458610225,CAD,0.25083213547755295,CAD
TBL,Taiga Building Products Ltd.,15.3895594978924,CAD,0.4103,CAD,0.4103,CAD,0.416128584001112,CAD,0.36666821066283756,CAD,0.5957478345453704,CAD,0.7178192598082357,CAD,2.85653,CAD,0.9513548566399557,CAD,0.33872805595442124,CAD
BTB.UN,BTB Real Estate Investment Trust,1.46652746133959,CAD,0.4748,CAD,0.4738,CAD,0.404570539936046,CAD,,,0.7417220234295496,CAD,0.74276736725235,CAD,5.64782,CAD,8.141519860678374,CAD,0.06206869451078944,CAD
URB,Urbana Corporation,0.402824561361127,CAD,2.3095,CAD,2.3095,CAD,-0.159901751656597,CAD,,,2.616522486961017,CAD,2.616522486961017,CAD,12.49858,CAD,0.44208130914045385,CAD,0.009002007483977573,CAD
TAL,PetroTal Corp.,0.465711060711331,CAD,0.1128,CAD,0.1103,CAD,0.287467784794866,CAD,0.12100517275638903,CAD,0.1505478293011758,CAD,0.27586665569868535,CAD,0.79313,CAD,0.15062160891739615,CAD,0.19591808862271357,CAD
AAG,Aftermath Silver Ltd.,0,CAD,-0.047,CAD,-0.047,CAD,-0.0406651281626054,CAD,-0.04068699780925332,CAD,-0.046348788341272595,CAD,-0.04630212834598147,CAD,0.11665,CAD,0.0003507983282342151,CAD,0.032134589807674814,CAD
ENS,E Split Corp. Class A,2.62393229604148,CAD,6.2508,CAD,6.2508,CAD,0.593991907169502,CAD,,,7.369250635596646,CAD,7.369250635596646,CAD,15.44107,CAD,,,,
