Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
ARX,ARC Resources Ltd.,Buy,Buy,Buy,53.35178367659272,-0.36999999999999744,0.2055441176470829,30.56984413859455,67.53246753246752,64.81137909709336,
IAG,iA Financial Corporation Inc.,Sell,Strong sell,Neutral,34.22497022315265,-15.960000000000008,-11.606632352941261,-202.2677940843053,19.772369536263415,28.887275274415625,Marubozu White
STN,Stantec Inc,Sell,Strong sell,Neutral,36.44826832530013,-12.5,-14.023970588235088,-95.51080883978423,28.66043613707163,23.065939771547203,
ALA,AltaGas Ltd.,Buy,Strong buy,Neutral,72.69412530258748,2.039999999999999,3.0433676470588438,129.956595550652,91.53575444804443,91.17382253984788,Spinning Top Black
EFN,Element Fleet Management Corporation,Sell,Strong sell,Neutral,45.89578654309363,-1.2199999999999989,-1.0157058823528615,-63.11140142148561,24.764468371466986,19.26125317780769,
HBM,Hudbay Minerals Inc,Buy,Buy,Neutral,53.1597659886999,2.039999999999999,0.7808529411764695,-76.84000613590973,41.55819911685477,40.18486732923427,
TPX.A,Molson Coors Canada Inc. Class A,Buy,Strong buy,Neutral,56.27150200981183,5,4.670294117646947,120.90939249255808,84.31372549019608,84.31372549019606,
TFII,TFI International Inc.,Buy,Strong buy,Neutral,56.12273756540851,-1.6999999999999886,5.321558823529017,40.38048304616576,60.63342230341279,62.93062684917473,
BEP.PR.R,Brookfield Renewable Partners LP 5.5 % Cum Red Perp Pfd Partnership Units A -Series 18- Reg S,Strong buy,Strong buy,Neutral,64.99748218084508,0.3000000000000007,0.12569117647069206,217.97671033476504,94.66666666666656,83.87668181413157,
NGD,New Gold Inc.,Strong buy,Strong buy,Buy,60.53774340760848,3.7600000000000016,0.39454411764705277,63.615513464759935,79.91948113346923,61.88260397887368,
CAE,CAE Inc.,Sell,Sell,Neutral,39.97522209549315,-0.45000000000000284,-2.633808823529371,-101.49707456222554,18.845564742231492,17.72430561329693,
X,TMX Group Ltd.,Sell,Strong sell,Neutral,41.56350928156997,-0.03999999999999915,-3.884191176470516,-45.45500803972956,22.342831298055145,15.55913613749432,Spinning Top White
CU,Canadian Utilities Limited Class A,Buy,Strong buy,Neutral,75.881100088252,2.5700000000000003,2.3036470588234863,162.62593897968088,93.18405139833719,93.7868480725624,Spinning Top White
OGC,OceanaGold Corporation,Strong buy,Strong buy,Buy,61.55495230347697,10.339999999999996,4.320205882352965,118.22920202454539,86.35873590222941,78.88820837895268,
QBR.A,Quebecor Inc. Class A,Buy,Strong buy,Neutral,59.749805039974554,2.4399999999999977,1.6197352941176675,116.86360136752367,75.10909007395152,79.01744930820301,
FTT,Finning International Inc.,Strong buy,Strong buy,Buy,64.61215512386855,4.980000000000004,4.541764705882301,159.2764110676031,80.68226803220936,74.04513438283335,
DPM,DPM Metals Inc.,Strong buy,Strong buy,Neutral,57.58641556583452,5.579999999999998,2.0921617647058994,77.52596338883806,72.7109038783047,63.93153265399957,Spinning Top White
ELD,Eldorado Gold Corporation,Neutral,Neutral,Neutral,50.07433244508226,8.170000000000002,4.078411764705869,-15.215814570762863,76.84786497121861,75.60097708687911,
KEY,Keyera Corp.,Buy,Strong buy,Neutral,68.49384523699821,3.3299999999999983,5.595323529411644,96.02257391731169,86.7587966341686,89.92539005950674,
CHP.UN,Choice Properties Real Estate Investment Trust,Strong buy,Strong buy,Buy,56.43213170793906,-0.08999999999999986,0.1301764705882693,62.59541984731521,67.89473684210532,70,Marubozu White
