Symbol,Description,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research & development ratio, Trailing 12 months","Selling, general & admin expenses ratio, Trailing 12 months"
TORQ,Torq Resources Inc.,,,,,,-604.569825784198,,,,
FYL,Finlay Minerals Ltd.,,,,,,-1.77396956477041,-2.23934022851188,-2.23934022851188,,
TAO,TAG Oil Ltd,-91.6167664670659,-503.459747172322,-293.612774451098,-293.612774451098,-400.06653359946773,-9.17320584108507,-10.1130933965831,-9.88398136534671,,411.84298070525614
CN,Condor Resources Inc.,,,,,,-64.1169524233743,-66.7957097951052,-66.7957097951052,,
BKM,Pacific Booker Minerals Inc.,,,,,,-106.194024960534,,,,
FTEL,First Tellurium Corp,,,,,,-220.488068670221,,,,
VTX,Vertex Resource Group Ltd.,12.801558706039,1.58367275005875,-7.23006579462677,-6.67541317459074,7.439100806767447,-6.28894269572236,-22.7746832906044,-10.261002396692,,11.217885955980261
QNTM,Quantum Biopharma Ltd. Subordinate Voting Shares Class B,,,,,,-175.930038665521,-234.589150681925,-234.589150681925,,
ULTH,United Lithium Corp,,,,,,-20.8738109250599,-21.4436508908085,-21.3879033399499,,
AIR,"Clean Air Metals, Inc.",,,,,,-3.79521039517789,-4.20844152765458,-4.20844152765458,,
EAGR,East Side Games Group Inc,48.4519503413473,-12.5079977637157,-13.6740973956033,-15.1570090883304,2.148050326452298,-18.7162003336366,-26.4063829705432,-26.4063829705432,5.260774271672109,55.69917383339088
AUME,Auriginal Mining Corp.,,,,,,,,,,
LIT,Argentina Lithium & Energy Corp.,,,,,,-19.2718165701758,-24.0741071267783,-24.0741071267783,,
BFG,Giant Mining Corp,,,,,,-61.1695678764467,-62.455389373489,-62.455389373489,,
ZAC,Zacatecas Silver Corp.,,,,,,-6.2569037354718,-7.83726439635766,-7.83726439635766,,
HTRC,High Tide Resources Corp.,,,,,,-289.583958327652,,,,
ABR,Arbor Metals Corp.,,,,,,3.6124776576665,3.72271889387513,3.72271889387513,,
MDX,Medx Health Corp.,27.4858721947581,-639.049349308192,-1013.98016848185,-1013.98016848185,-606.5901071896425,-497.632559359647,,,97.18744322582498,569.3477782771249
GRB,Greenbriar Sustainable Living Inc,,,,,,-24.4176358458274,-99.4623707546697,-64.0752118438544,,
PRM,Big Pharma Split Corp. Class A,87.2851948561116,-71.9438065358713,-97.3919450704116,-97.3919450704116,-43.73955905352041,-8.48283586897115,-15.6433797464251,-15.6433797464251,,
CXC,CMX Gold & Silver Corp,,,,,,-60.4724737459386,,-376.820338328772,,
BFM,Bedford Metals Corp,,,,,,-56.2668454010463,-64.3786875454601,-64.3786875454601,,
MAPS,ProStar Holdings Inc,-19.5071149708535,-207.534453715657,-167.815851785366,-167.815851785366,-142.2317309846751,-379.630855708492,,,49.934826012310296,138.0925127324921
OTMC,Oreterra Metals Corp.,,,,,,-86.9814796369885,,,,
OTMC,Oreterra Metals Corp.,,,,,,-86.9814796369885,,,,
NICO,Class 1 Nickel & Technologies Ltd.,,,,,,-296.359779313714,,,,
CUPA,Cupani Metals Corp.,82.1517341791899,-6120.17887785346,-5461.48302220373,-5461.48302220373,-5280.058239301128,-191.082506590022,-475.437833306249,-475.437833306249,,6112.345691851698
EDM,EDM Resources Inc,,,,,,-6.21576167756582,-16.1588042435024,-16.1588042435024,,
DOSE,Rapid Dose Therapeutics Corp,-44.2564358478939,-110.684539367953,-157.170628617367,-157.170628617367,-122.93636166872919,-160.158968154161,,,2.4688876792549297,63.959215840803864
VRTS,Vertiqal Studios Corp,22.0065751694345,-87.0040789574336,-132.725136908119,-122.974142311997,-59.90567877043607,-63.5039015479928,,,,109.01065412686808
GOGO,GoGo AI Network Inc.,,228.281607308451,296.762787391055,296.762787391055,-23.604662723615768,212.789412275039,251.473803239237,251.473803239237,,
GGI,Garibaldi Resources Corp.,,,,,,-94.9952500839331,-110.709435530905,-110.709435530905,,
IMI,Ironman International Ltd.,-5.62088808806356,-13.7537033639215,-16.6154292372361,-16.6154292372361,1.9721859345930237,-19.4311986431436,,-471.801866543113,,8.132815275857947
AVE,Aventis Energy Inc,,,,,,-28.7868062016809,-28.9575409790669,-28.9575409790669,,
HEVI,Helium Evolution Incorporated,,,,,,-20.4364413245842,-30.4266824192302,-30.3976756854912,,
HPM,Halcones Precious Metals Corp,,,,,,-420.532009475304,,,,
TBK,Trailbreaker Resources Ltd,,,,,,-1.17241986739493,-1.23281693851824,-1.23281693851824,,
OOR,Opus One Gold Corporation,,,,,,-34.7509180325274,-46.8451357786158,-46.8451357786158,,
PPR,"Prairie Provident Resources, Inc.",3.23684011971528,-19.6197278740474,-76.8064183496391,-76.8064183496391,-39.88581776112271,-26.6923634965169,,,,22.856567993762734
CMU,Comet Industries Ltd.,-1848.82643607165,-25907.6899320568,-21694.5645460161,-22839.0982087708,16192.402717726993,-7.23925035733478,-7.75482736771517,-7.74160279536419,,
MCC,Morocco Strategic Minerals Corporation,,,,,,-49.3504612854,-52.0290107530321,-51.4640794711115,,
PNRG,Pan American Energy Corp.,,,,,,-16.725182972083,-20.9948011337387,-20.9948011337387,,
PINN,Pinnacle Silver and Gold Corp,,,,,,-122.930097209243,-190.630674690605,-186.873043344856,,
BARU,Baru Gold Corp,,,,,,-32.7651988191647,-184.668266283257,-184.668266283257,,
ERTH,Replenish Nutrients Holding Corp.,-26.9251560296239,-70.9954061108495,-119.138234584535,-111.257556477933,-59.92311579228592,-31.8810932118059,-61.624271841807,-51.2317257857342,1.030402563764049,43.03984751746155
CASA,"Casa Minerals, Inc.",,,,,,-4.78285418322473,-5.73780611187929,-5.73780611187929,,
W,Spartan Metals Corp.,,,,,,-7.11715781637407,-7.36892917482368,-7.36892917482368,,
STND,Standard Uranium Ltd,,,,,,-11.4009980618395,-12.2419093134674,-12.2419093134674,,
VVTM,VVT Med Inc.,71.4285714285716,-32716.4334226188,-33428.6504999451,-33428.6504999451,-37797.347354200676,-239.519150135925,,,,32359.29056547592
YNV,Ynvisible Interactive Inc. Class A,-385.685671953026,-650.468577560714,-665.463364368594,-665.584395787985,-655.4110495283738,-119.779228011269,-155.369776048503,-146.753598999241,,264.7829056076875
PA,Palamina Corp.,,,,,,-292.963672426683,,,,
PER,Peruvian Metals Corp.,31.0184269890756,14.1553874230097,21.7122905735939,5.23762451524599,-5.50179960966213,7.35290094920262,14.108640595029,14.108640595029,,16.86303956606595
ROBO,Humanoid Global Holdings Corp.,100,-19744.9100694604,-19125.3737522425,-19125.3737522425,-5682.460094760569,-155.153369036162,-303.744918456036,-303.744918456036,,
SHRC,Sharc International Systems Inc,,-149.01586101968,-156.462207018626,-154.261154920894,-116.92286274002844,-113.030959642688,,-191.357169731023,3.1717663905490197,96.3663050287885
QB,Quarterback Resources Inc.,,,,,,-61.389752310688,-65.3266925082965,-65.3266925082965,,
CLIP,Clip Money Inc.,-111.179899219593,-140.734476072148,-192.06276629992,-192.06276629992,-83.40738324442182,-94.2753504752654,,-157.004676501481,,29.55457685255578
QYOU,"QYOU Media, Inc.",4.83451454190693,-1.13903907727458,-4.5260434813551,-8.03003795184031,2.1670216502613684,-15.7670626834061,-97.5638915255866,-94.454679359577,,5.973553619181511
CBIT,Cathedra Bitcoin Inc,-5.24398066602304,-18.1797478384435,-11.4477015260045,-16.1814666914531,8.003848332054234,-8.96744835853991,-13.5647207906939,-11.9386347920672,,12.935767172420483
PNGC,Loyalist Exploration Limited,,,,,,-2417.98773006135,,,,
